Week Start,Eligible Order Count,Late Order Count
2015-01-05,391,216
2015-01-12,380,216
2015-01-19,378,213
2015-01-26,387,223
2015-02-02,380,229
2015-02-09,376,223
2015-02-16,370,202
2015-02-23,385,222
2015-03-02,391,226
2015-03-09,390,229
2015-03-16,369,202
2015-03-23,381,229
2015-03-30,379,199
2015-04-06,386,222
2015-04-13,382,218
2015-04-20,386,220
2015-04-27,385,222
2015-05-04,384,221
2015-05-11,368,199
2015-05-18,383,232
2015-05-25,384,220
2015-06-01,381,217
2015-06-08,384,220
2015-06-15,389,216
2015-06-22,380,220
2015-06-29,393,224
2015-07-06,393,232
2015-07-13,393,222
2015-07-20,378,207
2015-07-27,377,206
2015-08-03,385,218
2015-08-10,381,221
2015-08-17,378,220
2015-08-24,370,215
2015-08-31,386,230
2015-09-07,378,212
2015-09-14,379,224
2015-09-21,385,229
2015-09-28,380,212
2015-10-05,375,204
2015-10-12,387,244
2015-10-19,375,221
2015-10-26,390,207
2015-11-02,386,228
2015-11-09,382,211
2015-11-16,395,226
2015-11-23,388,219
2015-11-30,385,220
2015-12-07,372,218
2015-12-14,397,220
2015-12-21,401,227
2015-12-28,392,232
2016-01-04,377,231
2016-01-11,375,218
2016-01-18,397,235
2016-01-25,391,215
2016-02-01,385,222
2016-02-08,369,209
2016-02-15,392,222
2016-02-22,372,208
2016-02-29,385,216
2016-03-07,381,232
2016-03-14,380,215
2016-03-21,389,219
2016-03-28,387,233
2016-04-04,380,205
2016-04-11,386,216
2016-04-18,392,223
2016-04-25,361,224
2016-05-02,367,195
2016-05-09,393,217
2016-05-16,371,210
2016-05-23,377,232
2016-05-30,378,248
2016-06-06,385,232
2016-06-13,368,219
2016-06-20,376,214
2016-06-27,382,215
2016-07-04,367,207
2016-07-11,379,208
2016-07-18,368,196
2016-07-25,388,229
2016-08-01,375,236
2016-08-08,380,206
2016-08-15,393,232
2016-08-22,381,219
2016-08-29,380,206
2016-09-05,390,235
2016-09-12,402,223
2016-09-19,387,231
2016-09-26,385,209
2016-10-03,374,202
2016-10-10,392,219
2016-10-17,386,233
2016-10-24,385,225
2016-10-31,391,227
2016-11-07,370,208
2016-11-14,383,225
2016-11-21,380,212
2016-11-28,383,220
2016-12-05,389,220
2016-12-12,379,215
2016-12-19,384,234
2016-12-26,370,221
2017-01-02,393,214
2017-01-09,382,217
2017-01-16,383,217
2017-01-23,374,204
2017-01-30,382,229
2017-02-06,378,216
2017-02-13,383,228
2017-02-20,392,213
2017-02-27,386,221
2017-03-06,380,215
2017-03-13,385,217
2017-03-20,388,237
2017-03-27,395,210
2017-04-03,394,217
2017-04-10,387,218
2017-04-17,390,212
2017-04-24,382,210
2017-05-01,385,229
2017-05-08,372,202
2017-05-15,369,221
2017-05-22,377,219
2017-05-29,398,217
2017-06-05,370,207
2017-06-12,357,207
2017-06-19,377,210
2017-06-26,378,221
2017-07-03,384,239
2017-07-10,374,210
2017-07-17,394,217
2017-07-24,383,216
2017-07-31,396,233
2017-08-07,373,199
2017-08-14,362,217
2017-08-21,391,229
2017-08-28,387,224
2017-09-04,382,215
2017-09-11,393,215
2017-09-18,381,221
2017-09-25,377,222
2017-10-02,459,249
2017-10-09,462,296
2017-10-16,453,245
2017-10-23,456,249
2017-10-30,459,266
2017-11-06,453,256
2017-11-13,460,264
2017-11-20,458,263
2017-11-27,459,278
2017-12-04,457,265
2017-12-11,460,270
2017-12-18,460,254
2017-12-25,455,260
2018-01-01,460,276
2018-01-08,455,278
2018-01-15,464,260
2018-01-22,463,272
